Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

539/1000: r = 0.65, accuracy = 84.76%
540/1000: r = 0.78, accuracy = 87.62%
541/1000: r = 0.68, accuracy = 87.62%
542/1000: r = 0.78, accuracy = 87.62%
543/1000: r = 0.71, accuracy = 87.62%
544/1000: r = 0.70, accuracy = 86.67%
545/1000: r = 0.72, accuracy = 86.67%
546/1000: r = 0.72, accuracy = 87.62%
547/1000: r = 0.73, accuracy = 87.62%
548/1000: r = 0.67, accuracy = 87.62%
549/1000: r = 0.74, accuracy = 88.57%
550/1000: r = 0.75, accuracy = 88.57%
551/1000: r = 0.72, accuracy = 86.67%
552/1000: r = 0.66, accuracy = 86.67%
553/1000: r = 0.71, accuracy = 87.62%
554/1000: r = 0.71, accuracy = 88.57%
555/1000: r = 0.66, accuracy = 85.71%
556/1000: r = 0.71, accuracy = 85.71%
557/1000: r = 0.75, accuracy = 85.71%
558/1000: r = 0.73, accuracy = 85.71%
559/1000: r = 0.71, accuracy = 86.67%
560/1000: r = 0.66, accuracy = 86.67%
561/1000: r = 0.77, accuracy = 86.67%
562/1000: r = 0.65, accuracy = 87.62%
563/1000: r = 0.71, accuracy = 87.62%
564/1000: r = 0.78, accuracy = 88.57%
